Time Stamp: 0.0, Centroid  X: 199, Y: 437
Time Stamp: 0.041708, Centroid  X: 199, Y: 439
Time Stamp: 0.083416, Centroid  X: 198, Y: 441
Time Stamp: 0.125125, Centroid  X: 198, Y: 443
Time Stamp: 0.166833, Centroid  X: 198, Y: 445
Time Stamp: 0.208541, Centroid  X: 197, Y: 448
Time Stamp: 0.25025, Centroid  X: 198, Y: 448
Time Stamp: 0.291958, Centroid  X: 199, Y: 450
Time Stamp: 0.333666, Centroid  X: 198, Y: 451
Time Stamp: 0.375375, Centroid  X: 199, Y: 453
Time Stamp: 0.417083, Centroid  X: 198, Y: 454
Time Stamp: 0.458791, Centroid  X: 199, Y: 455
Time Stamp: 0.5005, Centroid  X: 198, Y: 455
Time Stamp: 0.542208, Centroid  X: 199, Y: 455
Time Stamp: 0.583916, Centroid  X: 198, Y: 454
Time Stamp: 0.625625, Centroid  X: 199, Y: 454
Time Stamp: 0.667333, Centroid  X: 198, Y: 454
Time Stamp: 0.709041, Centroid  X: 197, Y: 455
Time Stamp: 0.75075, Centroid  X: 197, Y: 454
Time Stamp: 0.792458, Centroid  X: 198, Y: 454
Time Stamp: 0.834166, Centroid  X: 196, Y: 454
Time Stamp: 0.875875, Centroid  X: 195, Y: 454
Time Stamp: 0.917583, Centroid  X: 194, Y: 455
Time Stamp: 0.959291, Centroid  X: 194, Y: 454
Time Stamp: 1.001, Centroid  X: 193, Y: 455
Time Stamp: 1.042708, Centroid  X: 192, Y: 455
Time Stamp: 1.084416, Centroid  X: 191, Y: 455
Time Stamp: 1.126125, Centroid  X: 190, Y: 456
Time Stamp: 1.167833, Centroid  X: 189, Y: 456
Time Stamp: 1.209541, Centroid  X: 188, Y: 457
Time Stamp: 1.25125, Centroid  X: 187, Y: 457
Time Stamp: 1.292958, Centroid  X: 186, Y: 457
Time Stamp: 1.334666, Centroid  X: 186, Y: 457
Time Stamp: 1.376375, Centroid  X: 185, Y: 458
Time Stamp: 1.418083, Centroid  X: 185, Y: 458
Time Stamp: 1.459791, Centroid  X: 184, Y: 458
Time Stamp: 1.5015, Centroid  X: 183, Y: 458
Time Stamp: 1.543208, Centroid  X: 183, Y: 458
Time Stamp: 1.584916, Centroid  X: 182, Y: 459
Time Stamp: 1.626625, Centroid  X: 181, Y: 459
Time Stamp: 1.668333, Centroid  X: 181, Y: 459
Time Stamp: 1.710041, Centroid  X: 181, Y: 459
Time Stamp: 1.75175, Centroid  X: 179, Y: 459
Time Stamp: 1.793458, Centroid  X: 178, Y: 460
Time Stamp: 1.835166, Centroid  X: 179, Y: 460
