Time Stamp: 0.0, Centroid  X: 222, Y: 421
Time Stamp: 0.041708, Centroid  X: 223, Y: 420
Time Stamp: 0.083416, Centroid  X: 222, Y: 423
Time Stamp: 0.125125, Centroid  X: 222, Y: 424
Time Stamp: 0.166833, Centroid  X: 222, Y: 426
Time Stamp: 0.208541, Centroid  X: 221, Y: 429
Time Stamp: 0.25025, Centroid  X: 223, Y: 429
Time Stamp: 0.291958, Centroid  X: 223, Y: 432
Time Stamp: 0.333667, Centroid  X: 222, Y: 432
Time Stamp: 0.375375, Centroid  X: 223, Y: 434
Time Stamp: 0.417083, Centroid  X: 222, Y: 434
Time Stamp: 0.458792, Centroid  X: 223, Y: 436
Time Stamp: 0.5005, Centroid  X: 221, Y: 436
Time Stamp: 0.542208, Centroid  X: 221, Y: 437
Time Stamp: 0.583917, Centroid  X: 220, Y: 436
Time Stamp: 0.625625, Centroid  X: 221, Y: 436
Time Stamp: 0.667334, Centroid  X: 220, Y: 436
Time Stamp: 0.709042, Centroid  X: 220, Y: 436
Time Stamp: 0.75075, Centroid  X: 220, Y: 435
Time Stamp: 0.792459, Centroid  X: 220, Y: 435
Time Stamp: 0.834167, Centroid  X: 219, Y: 436
Time Stamp: 0.875875, Centroid  X: 218, Y: 436
Time Stamp: 0.917584, Centroid  X: 217, Y: 436
Time Stamp: 0.959292, Centroid  X: 217, Y: 436
Time Stamp: 1.001001, Centroid  X: 215, Y: 436
Time Stamp: 1.042709, Centroid  X: 214, Y: 437
Time Stamp: 1.084417, Centroid  X: 213, Y: 437
Time Stamp: 1.126126, Centroid  X: 213, Y: 437
Time Stamp: 1.167834, Centroid  X: 212, Y: 437
Time Stamp: 1.209542, Centroid  X: 211, Y: 437
Time Stamp: 1.251251, Centroid  X: 211, Y: 437
Time Stamp: 1.292959, Centroid  X: 210, Y: 437
Time Stamp: 1.334668, Centroid  X: 209, Y: 438
Time Stamp: 1.376376, Centroid  X: 209, Y: 438
Time Stamp: 1.418084, Centroid  X: 208, Y: 438
Time Stamp: 1.459793, Centroid  X: 207, Y: 438
Time Stamp: 1.501501, Centroid  X: 206, Y: 439
Time Stamp: 1.543209, Centroid  X: 206, Y: 439
Time Stamp: 1.584918, Centroid  X: 206, Y: 439
Time Stamp: 1.626626, Centroid  X: 204, Y: 439
Time Stamp: 1.668335, Centroid  X: 203, Y: 440
Time Stamp: 1.710043, Centroid  X: 203, Y: 440
Time Stamp: 1.751751, Centroid  X: 202, Y: 441
Time Stamp: 1.79346, Centroid  X: 201, Y: 441
Time Stamp: 1.835168, Centroid  X: 200, Y: 441
Time Stamp: 1.876876, Centroid  X: 200, Y: 441
Time Stamp: 1.918585, Centroid  X: 200, Y: 441
Time Stamp: 1.960293, Centroid  X: 200, Y: 441
Time Stamp: 2.002002, Centroid  X: 199, Y: 441
Time Stamp: 2.04371, Centroid  X: 198, Y: 441
Time Stamp: 2.085418, Centroid  X: 198, Y: 442
Time Stamp: 2.127127, Centroid  X: 197, Y: 442
Time Stamp: 2.168835, Centroid  X: 196, Y: 443
Time Stamp: 2.210543, Centroid  X: 196, Y: 443
Time Stamp: 2.252252, Centroid  X: 195, Y: 443
Time Stamp: 2.29396, Centroid  X: 195, Y: 443
Time Stamp: 2.335669, Centroid  X: 194, Y: 443
Time Stamp: 2.377377, Centroid  X: 194, Y: 444
Time Stamp: 2.419085, Centroid  X: 193, Y: 444
Time Stamp: 2.460794, Centroid  X: 192, Y: 445
Time Stamp: 2.502502, Centroid  X: 195, Y: 444
Time Stamp: 2.54421, Centroid  X: 195, Y: 444
Time Stamp: 2.585919, Centroid  X: 191, Y: 445
Time Stamp: 2.627627, Centroid  X: 190, Y: 446
Time Stamp: 2.669336, Centroid  X: 190, Y: 445
Time Stamp: 2.711044, Centroid  X: 190, Y: 446
Time Stamp: 2.752752, Centroid  X: 189, Y: 446
Time Stamp: 2.794461, Centroid  X: 189, Y: 446
Time Stamp: 2.836169, Centroid  X: 189, Y: 446
Time Stamp: 2.877877, Centroid  X: 189, Y: 446
Time Stamp: 2.919586, Centroid  X: 188, Y: 447
Time Stamp: 2.961294, Centroid  X: 188, Y: 447
Time Stamp: 3.003003, Centroid  X: 191, Y: 446
Time Stamp: 3.044711, Centroid  X: 188, Y: 447
Time Stamp: 3.086419, Centroid  X: 187, Y: 447
Time Stamp: 3.128128, Centroid  X: 190, Y: 446
Time Stamp: 3.169836, Centroid  X: 190, Y: 446
Time Stamp: 3.211544, Centroid  X: 190, Y: 446
Time Stamp: 3.253253, Centroid  X: 185, Y: 447
Time Stamp: 3.294961, Centroid  X: 188, Y: 447
Time Stamp: 3.33667, Centroid  X: 188, Y: 447
Time Stamp: 3.378378, Centroid  X: 187, Y: 447
Time Stamp: 3.420086, Centroid  X: 187, Y: 447
Time Stamp: 3.461795, Centroid  X: 182, Y: 448
Time Stamp: 3.503503, Centroid  X: 185, Y: 448
Time Stamp: 3.545211, Centroid  X: 185, Y: 447
Time Stamp: 3.58692, Centroid  X: 181, Y: 449
Time Stamp: 3.628628, Centroid  X: 181, Y: 448
Time Stamp: 3.670337, Centroid  X: 185, Y: 447
Time Stamp: 3.712045, Centroid  X: 184, Y: 448
Time Stamp: 3.753753, Centroid  X: 184, Y: 448
Time Stamp: 3.795462, Centroid  X: 183, Y: 448
Time Stamp: 3.83717, Centroid  X: 183, Y: 448
Time Stamp: 3.878878, Centroid  X: 182, Y: 448
Time Stamp: 3.920587, Centroid  X: 181, Y: 449
Time Stamp: 3.962295, Centroid  X: 181, Y: 448
Time Stamp: 4.004004, Centroid  X: 180, Y: 448
Time Stamp: 4.045712, Centroid  X: 180, Y: 448
Time Stamp: 4.08742, Centroid  X: 179, Y: 448
Time Stamp: 4.129129, Centroid  X: 178, Y: 448
Time Stamp: 4.170837, Centroid  X: 178, Y: 448
Time Stamp: 4.212545, Centroid  X: 178, Y: 448
Time Stamp: 4.254254, Centroid  X: 177, Y: 448
Time Stamp: 4.295962, Centroid  X: 177, Y: 448
Time Stamp: 4.337671, Centroid  X: 176, Y: 448
Time Stamp: 4.379379, Centroid  X: 176, Y: 448
Time Stamp: 4.421087, Centroid  X: 176, Y: 448
Time Stamp: 4.462796, Centroid  X: 175, Y: 448
Time Stamp: 4.504504, Centroid  X: 175, Y: 449
Time Stamp: 4.546212, Centroid  X: 174, Y: 449
Time Stamp: 4.587921, Centroid  X: 174, Y: 449
Time Stamp: 4.629629, Centroid  X: 174, Y: 449
Time Stamp: 4.671338, Centroid  X: 173, Y: 450
Time Stamp: 4.713046, Centroid  X: 173, Y: 450
Time Stamp: 4.754754, Centroid  X: 173, Y: 450
Time Stamp: 4.796463, Centroid  X: 173, Y: 450
Time Stamp: 4.838171, Centroid  X: 172, Y: 450
Time Stamp: 4.879879, Centroid  X: 172, Y: 451
Time Stamp: 4.921588, Centroid  X: 172, Y: 451
Time Stamp: 4.963296, Centroid  X: 173, Y: 451
Time Stamp: 5.005005, Centroid  X: 172, Y: 452
Time Stamp: 5.046713, Centroid  X: 173, Y: 452
Time Stamp: 5.088421, Centroid  X: 172, Y: 452
Time Stamp: 5.13013, Centroid  X: 172, Y: 452
Time Stamp: 5.171838, Centroid  X: 172, Y: 451
